Role,Project_Title,Task_Sequence,Task_Name,Days_Estimate
QA Engineer,Selenium Login Script,4,Run & Debug,1
QA Engineer,API Postman Collection,1,Review API Documentation,1
QA Engineer,API Postman Collection,2,Create Requests for Endpoints,3
QA Engineer,API Postman Collection,3,Add Verification Scripts (Asserts),3
QA Engineer,API Postman Collection,4,Export Collection for Team,1
QA Engineer,Bug Report Standardization,1,Audit Last 20 Bug Reports,2
QA Engineer,Bug Report Standardization,2,Identify Missing Information,1
QA Engineer,Bug Report Standardization,3,Create New Jira Template,2
QA Engineer,Bug Report Standardization,4,Write Guide "How to Log Bugs",1
UX Designer,Heuristic Evaluation,1,Review Nielsen's Heuristics,1
UX Designer,Heuristic Evaluation,2,Walkthrough Current App,3
UX Designer,Heuristic Evaluation,3,Document Violations,3
UX Designer,Heuristic Evaluation,4,Rate Severity,1
UX Designer,Profile Page Wireframe,1,Sketch Low-Fidelity Concepts,2
UX Designer,Profile Page Wireframe,2,Create Mid-Fidelity in Figma,3
UX Designer,Profile Page Wireframe,3,Prototype Interactions,2
UX Designer,Profile Page Wireframe,4,Internal Review,1
UX Designer,Competitor UI Analysis,1,Screenshot Competitor Flows,2
UX Designer,Competitor UI Analysis,2,Analyze Visual Hierarchy,3
UX Designer,Competitor UI Analysis,3,Identify Interaction Patterns,2
UX Designer,Competitor UI Analysis,4,Create Moodboard,1
UX Designer,Usability Testing Setup,1,Define Test Tasks,1
UX Designer,Usability Testing Setup,2,Write Moderator Script,2
UX Designer,Usability Testing Setup,3,Recruit 5 Internal Users,2
UX Designer,Usability Testing Setup,4,Schedule Sessions,1
